question,retrieved_context,expected_context,context_precision,context_recall
¿Qué impacto tiene el aumento de las tarifas de aceptación de Visa en comercios de alto riesgo?,,"Visa justifica este cambio como parte de su estrategia para mitigar el riesgo de fraude y lavado de dinero en sectores de alto riesgo, los cuales suelen tener mayor volumen de disputas y contracargos. Este ajuste está documentado en Reglas de Visa en español.pdf.",0.0,0.0
¿Cómo afectarán los nuevos requisitos de presentación de certificados de operaciones a los miembros patrocinados y principales?,,"Estos cambios buscan aumentar la transparencia y el control en la expansión de programas de Miembros Patrocinados, especialmente en regiones con regulaciones estrictas, evitando prácticas de arbitraje regulatorio y garantizando un estándar uniforme de cumplimiento. Este cambio está documentado en AI14902_SP.pdf.",0.0,0.0
¿Qué impacto tiene la nueva tasa de acceso a la Sala Visa Infinite Lounge en Brasil y cuál es el incremento porcentual?,,"Visa ha establecido este ajuste de tarifas como parte de su plan de alineación con los precios de otras salas VIP en el aeropuerto, garantizando una experiencia consistente para los tarjetahabientes Visa Infinite. Aunque la nueva tarifa sigue siendo competitiva en comparación con otros lounges internacionales, el aumento podría generar resistencia entre quienes estaban acostumbrados a una tarifa más económica. Este cambio está especificado en AI14803_SP.pdf.",0.0,0.0
¿Qué impacto tiene la nueva tasa de acceso a la Sala Visa Infinite Lounge en Brasil y cuál es el incremento porcentual?,,"Visa ha establecido este ajuste tarifario como parte de su plan de alineación con los precios de otras salas VIP dentro del aeropuerto, garantizando una experiencia consistente para los tarjetahabientes Visa Infinite. Aunque la nueva tarifa es competitiva frente a lounges internacionales, el aumento podría generar resistencia entre quienes disfrutaban de un acceso más económico. Este cambio está especificado en AI14803_SP.pdf.",0.0,0.0
¿Cuáles son los costos adicionales para emisores que utilizan Visa Direct en 2025?,,"El objetivo de estos cambios es mejorar la seguridad y confiabilidad de los pagos instantáneos entre cuentas. A medida que aumenta el uso de Visa Direct, se hace necesario reforzar la infraestructura técnica y garantizar el cumplimiento normativo en cada país. Estos detalles están documentados en AI14787_SP.pdf.",0.0,0.0
¿Cómo impactarán los nuevos requisitos de control de sanciones en la relación de los adquirentes con comercios de alto riesgo?,,"Estos requisitos incrementan los costos operativos y de cumplimiento para los adquirentes, que deben implementar herramientas avanzadas de detección de sanciones. Además, pueden afectar la relación con comercios de alto riesgo, tales como plataformas de remesas, criptomonedas o apuestas en línea. Visa responde a regulaciones internacionales para prevenir el lavado de dinero y el financiamiento ilícito. Los detalles se encuentran en AI14943_SP.pdf.",0.0,0.0
¿Cuáles son los nuevos límites de tiempo para procesar transacciones de pago diferido y cómo afectan a los emisores?,,"Visa endureció estas reglas para evitar prácticas de procesamiento tardío, que previamente generaron disputas entre tarjetahabientes, comercios y emisores. Afecta especialmente a empresas de suscripción, aerolíneas y comercio transfronterizo, donde los pagos diferidos son comunes. Estos cambios están documentados en Reglas de Visa en español.pdf, en la sección sobre límites de fechas en transacciones.",0.0,0.0
¿Cuáles son las nuevas tasas de intercambio (IRF) aplicables en 2025?,,Las modificaciones en las tasas de IRF se han realizado para alinearse con las regulaciones locales y ajustar la estructura de costos. Los detalles específicos por región y tipo de tarjeta se encuentran en el documento Reglas de Visa en español.pdf.,0.0,0.0
¿Cuáles son las nuevas reglas sobre las diferencias entre montos de autorización y compensación en transacciones con tarjeta ausente?,,"Visa ha implementado esta regla para armonizar los requisitos globales de compensación y autorización, especialmente en transacciones donde el tarjetahabiente no está presente físicamente. Es clave en sectores como suscripciones digitales, comercio electrónico y servicios de transporte, donde pueden existir variaciones por propinas, cargos adicionales o cambios en el servicio. Estos cambios están documentados en Reglas de Visa en español.pdf, en la sección sobre procesamiento de transacciones.",0.0,0.0
¿Cómo afecta el incumplimiento de los límites de desempeño de fraude a los emisores bajo el programa de supervisión de Visa?,,"Este programa busca forzar a los emisores a mejorar sus estrategias antifraude, dada la preocupación por el elevado volumen de fraude en transacciones en línea y con tarjetas clonadas. Los detalles están documentados en Reglas de Visa en español.pdf, sección 10.4.8.1.",0.0,0.0
